_id,id,department,name,street,no,zip,city,lat,lng
1,2011,BA,Grøndalsvej-adm,Grøndalsvej,1,8260,Viby J,56.122749,10.14937
2,2016,MBU,Bakkegårdskolen og Trige Bibliotek,Bjørnshøjvej,1,8380,Trige,56.253364,10.148891
3,2020,MKB,Beder-Malling Bibliotek,Kirkebakken,41,8330,Beder,56.060383,10.215753
4,2021,MTM,Århus Brandvæsen - Kirstinesminde,Kirstinesmindevej,14,8200,Århus N,56.195818,10.1713609
5,2027,MTM,Brandstation,Ny Munkegade,15,8000,Århus C,56.1615652,10.2031271
6,2031,MSO,Demenscentrum Aarhus,Graham Bells Vej,2,8200,Århus N,56.20087,10.185313
7,2035,MSB,"Ydelsescenter Vest, Adm.",Silkeborgvej,622,8220,Brabrand,56.153493,10.118396
8,2045,MSB,En Ekstra hånd,Fredens Torv,8,8000,Århus C,56.1542554,10.2094972
9,2050,MSB,Socialcenter Vest,Gudrunsvej,78,8220,Brabrand,56.1554775,10.1343281
10,2053,MTM,Affaldscenter Aarhus,Ølstedvej,20,8200,Århus N,56.227636,10.157928
11,2054,MSO,Fortegaarden Plejehjem,Femmøllervej,10,8240,Risskov,56.195923,10.23451
12,2055,MSO,Lokalcenter Frederiksbjerg,Ankersgade,21,8000,Århus C,56.1478006,10.1902611
13,2057,MBU,Frydenlundskolen (Center 10),Høgevej,25,8210,Århus V,56.1711319,10.1783736
14,2063,MKB,Hasle Bibliotek,Kappelvænget,2,8210,Århus V,56.179471,10.1672604
15,2065,MBU,Bavnehøj Skole,Koltvej,15-19,8361,Hasselager,56.106522,10.09695
16,2072,MKB,Højbjerg Bibliotek,Oddervej,74,8270,Højbjerg,56.1142695,10.2074291
17,2073,MBU,Højvangskolen,Klokkeskovvej,1,8260,Viby J,56.1305061,10.1137036
18,2075,MBU,Ellevangskolen - tidligere Jellebakkeskolen,Jellebakken,17,8240,Risskov,56.203054,10.217604
19,2081,MSO,Kløvervangen Plejehjemmet,Kløvervangen,31,8541,Skødstrup,56.263657,10.292376
20,2082,MBU,Kolt Skole,Kolt Østervej,45,8361,Hasselager,56.1099242,10.0760538
21,2084,MBU,Kragelundskolen,Parkvej,18,8270,Højbjerg,56.11519,10.200594
22,2088,MBU,Lisbjergskolen,Lisbjergvej,15,8200,Århus N,56.2192939,10.1573058
23,2089,MSO,Lokalcenter Abildgaarden,Skovvangsvej,99,8200,Århus N,56.17678,10.206704
24,2090,MSO,Lokalcenter Trøjborg,Kirkegårdsvej,53,8000,Århus C,56.166957,10.213321
25,2092,MSO,Lokalcenter Bjerggaarden,Østerøgade,20,8200,Århus N,56.175991,10.191634
26,2093,MSO,Lokalcenter Bjørnshøj,Gartnerparken,1,8380,Trige,56.2524569,10.1439749
27,2094,MSO,Lokalcenter Brabrand,Voldbækvej,92,8220,Brabrand,56.152802,10.095306
28,2095,MSO,Lokalcenter Bøgeskovhus,Skovlundgårdsvej,51,8260,Viby J,56.124224,10.129708
29,2096,MSO,Lokalcenter Carl Bloch gd.,Carl Blochsgade,30,8000,Århus C,56.15465,10.192664
30,2097,MSO,Lokalcenter Dalgas,Dalgas Avenue,54,8000,Århus C,56.139314,10.205466
31,2098,MSO,Lokalcenter Elmevang,Elmevangsvej,2,8355,Solbjerg,56.042315,10.087423
32,2099,MSO,Lokalcenter Eskegården,Byagervej,115,8330,Beder,56.057259,10.2072902
33,2100,MSO,Lokalcenter Fuglebakken,Fuglebakkevej,4A,8210,Århus V,56.165838,10.185039
34,2101,MSO,Lokalcenter Hasle,Rymarken,118,8210,Århus V,56.167659,10.154995
35,2102,MSO,Lokalcenter Havkær,Mosealleen,1,8381,Tilst,56.1918279,10.1104053
